"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"TNXB.7",2.22072524734163,2.29183483173593,-0.832204079049083,3.9640959698296,0.154154154154154,"Rejected"
"ADCYAP1R1",2.44439104870145,2.51556740145842,-0.370528893946816,4.11908140846633,0.525525525525526,"Tentative"
"COL19A1",0.41865560452136,0.915539684437685,-1.2304696860468,1.65703796790781,0,"Rejected"
"GADD45B",1.67942720730815,1.70875914839438,-1.34243192173102,3.10022866169341,0.011011011011011,"Rejected"
"NR4A3",0.0926001915957007,0.054398010405854,-1.78239535632884,1.55871282115963,0,"Rejected"
"KCNA5",2.97481466933287,3.01018816741541,0.402504494220952,4.69802333492967,0.756756756756757,"Confirmed"
"DPT",6.72840730546992,6.72915976808175,4.99776630328147,8.57898809765861,1,"Confirmed"
"CADM3",4.28841468759727,4.30804374669809,2.01784850235416,5.86660618745417,0.985985985985986,"Confirmed"
"C1QTNF7",2.40161278821011,2.42145462441058,-0.0683324572403807,4.36577258070556,0.495495495495495,"Tentative"
"PI16",3.88827098352772,3.92389788525336,1.90338993584529,5.41472660744695,0.964964964964965,"Confirmed"
"NPAS4",2.06128868209022,2.12927787604042,-0.963824014752322,3.8739206792013,0.022022022022022,"Rejected"
"ARC",1.67783318872856,1.80266689941616,-0.667253892577633,3.62311156731044,0.013013013013013,"Rejected"
"DHH",1.36484309031201,1.60055340752869,-0.627221706126701,2.64413774130039,0.001001001001001,"Rejected"
"CD8A",1.05871334454796,1.10993374302078,-0.975943116369422,2.7654548473486,0.001001001001001,"Rejected"
"FCER2",1.05684471039709,0.966812855829957,-1.21322097739563,2.88425355046977,0.001001001001001,"Rejected"
"ADRB2.1",3.56289092427494,3.61455526101392,1.03691019142781,5.3242141800048,0.910910910910911,"Confirmed"
"CFTR",-0.360284176185452,-0.717564290016182,-2.12464557371399,1.45614443415389,0,"Rejected"
"CD36.1",2.15550781797589,2.20001325964205,0.00144733729361041,3.77127458252997,0.122122122122122,"Rejected"
"NFKB1",0.691769229903217,1.02887550451073,-1.00100150250438,1.66900173878118,0,"Rejected"
"STAT3",1.25604653089581,1.4220757416893,0.269616380650324,1.95859382502096,0,"Rejected"
"GSK3B",1.50391238578066,1.6185054003981,-0.763185579397825,2.16935730564788,0.001001001001001,"Rejected"
"CASP6",0.910549391049355,0.958510740979155,-0.386975825541586,2.45209837088315,0,"Rejected"
"WNT3A",0.124918213049778,0.0579793944952156,-1.13852399234003,1.99289244920196,0,"Rejected"
"BACE1",1.2193062968418,1.45253134660958,-0.0302667785034857,2.22933631172305,0,"Rejected"
"GSDMD",1.19238699297559,1.47101682888689,-1.36838047711415,2.085202780239,0.001001001001001,"Rejected"
"SHH",0.598790812225455,0.602063592180935,-1.26791629490411,2.23787315092727,0,"Rejected"
"RPE65",0.490424608744963,0.394440683241754,-1.00100150250438,2.08669027782009,0,"Rejected"
"PCSK7",0.317034583478439,0.324855883524144,-0.956202767254194,1.81849195472884,0,"Rejected"
"MICA",0.576966593683166,0.795155170813473,-1.00100150250438,1.700361007499,0,"Rejected"
"ARC.1",1.82204408544094,1.8003811491262,-0.452712593708646,3.67077594972359,0.023023023023023,"Rejected"
"NLRP3",0.45397567400196,0.405815489532328,-0.782506147443327,2.11902046779901,0,"Rejected"
"P2RX7",1.30021237021448,1.49123663026706,-0.752943715349614,2.70503762922336,0,"Rejected"
"NOD2",0.607507823679734,0.446393283570544,-0.837161799608348,2.55640503035618,0.001001001001001,"Rejected"
"TLR9",-0.0266375096263079,-0.138086116719534,-1.41646271334833,1.73723960591736,0,"Rejected"
"CABP1",0.630956907086103,0.479328637031602,-0.520902261869243,1.88369736556907,0,"Rejected"
"NOD1",1.59445713528519,1.62174420720871,0.0432615361831409,2.57331545013987,0.001001001001001,"Rejected"
