"","lacgene","corgene","cor","pvalue"
"156","NOD2","EMP1",0.586252868844743,1.05212188182962e-42
"157","NOD2","DSG3",0.609203713676221,7.41043096519924e-47
"158","NOD2","DSC3",0.612693159703523,1.61632613003428e-47
"159","NOD2","ANXA1",0.62147310529596,3.21756488652496e-49
"160","NOD2","SCEL",0.590421074744238,1.9613845053857e-43
"161","NOD2","IL1RN",0.612613384029242,1.6739410081831e-47
"162","NOD2","IL36A",0.524486156420003,4.99689054020179e-33
"163","NOD2","FGFBP1",0.512383576951785,2.34873450746065e-31
"164","NOD2","TRIM29",0.547258068867878,2.31101761074501e-36
"165","NOD2","DUOX1",0.587137472457097,7.38122701292925e-43
"166","NOD2","CLCA2",0.631952104905843,2.54283763030616e-51
"167","NOD2","GLTP",0.614875049691154,6.1774788510697e-48
"168","NOD2","DUOXA1",0.626402720685648,3.37736349242265e-50
"169","NOD2","RHCG",0.614434523380737,7.50606198128261e-48
"170","NOD2","ZNF750",0.648227542436355,9.44476549691439e-55
"171","NOD2","PADI1",0.593835596935394,4.86430768843185e-44
"172","NOD2","CRABP2",0.516803854103632,5.8597086085403e-32
"173","NOD2","ECM1",0.555051981262883,1.45421570406643e-37
"174","NOD2","CRNN",0.547975505939541,1.79699738428237e-36
"175","NOD2","S100A8",0.621818796977231,2.75072283920222e-49
"176","NOD2","SLC10A6",0.615238522327787,5.25905245150569e-48
"177","NOD2","ZNF185",0.625755752299851,4.55048212498832e-50
"178","NOD2","FAM83A",0.551718814129425,4.78842275678949e-37
"179","NOD2","GSDMC",0.583919509404264,2.66596808814342e-42
"180","NOD2","BTBD11",0.628966308651219,1.02922007170729e-50
"181","NOD2","TMPRSS11D",0.580927900447887,8.68570783743671e-42
"182","NOD2","CERS3",0.620627221010144,4.71799315318881e-49
"183","NOD2","SPAG17",0.643624749887009,9.25577052640624e-54
"184","NOD2","RAET1L",0.548803638557861,1.34309230240723e-36
"185","NOD2","TIAM1",0.614343387311601,7.81443724299703e-48
"186","NOD2","GRHL3",0.65471080698723,3.54431116182805e-56
"187","NOD2","PGLYRP3",0.62239002552669,2.1220830775313e-49
"188","NOD2","CSTB",0.602580700200593,1.26673594787659e-45
"189","NOD2","LEXM",0.587265488353967,7.0115206687342e-43
"190","NOD2","BNIPL",0.593500958482822,5.58067299941467e-44
"191","NOD2","IVL",0.618572280679796,1.18981202608975e-48
"192","NOD2","SPRR3",0.591381089901615,1.32751496707975e-43
"193","NOD2","S100A9",0.614259276930249,8.11017528848585e-48
"194","NOD2","TMEM79",0.65570767009438,2.1242118873915e-56
"195","NOD2","RAET1E",0.583150596459301,3.61578196447554e-42
"196","NOD2","AQP3",0.579478514064755,1.5325743035187e-41
"197","NOD2","GJB2",0.634065190228331,9.36627768491897e-52
"198","NOD2","SLC39A2",0.553247063978029,2.77724168842312e-37
"199","NOD2","ASPG",0.513981175442816,1.42536994149176e-31
"200","NOD2","A2ML1",0.59663281479741,1.53298424351224e-44
"201","NOD2","SERPINB12",0.570106003805451,5.63419743476762e-40
"202","NOD2","LY6D",0.557774102916583,5.44000515420248e-38
"203","NOD2","KLK13",0.563601347777154,6.42840746628235e-39
"204","NOD2","ACER1",0.518412543418326,3.51753533842227e-32
"205","NOD2","SCNN1B",0.514486032663926,1.21658970444794e-31
"206","NOD2","LGI3",0.552401723044136,3.7551422750062e-37
"207","NOD2","SPRR1A",0.542154585968355,1.35968776144384e-35
"208","NOD2","MUC15",0.577561286211886,3.23410914425676e-41
"209","NOD2","CLIC3",0.578184188753704,2.53871803779599e-41
"210","NOD2","P2RY1",0.519761062978325,2.28840478109456e-32
"211","NOD2","TMEM154",0.650158988991994,3.58192981552184e-55
"212","NOD2","KRT78",0.508205503651064,8.56450430469329e-31
"213","NOD2","SDR9C7",0.508877858796512,6.96316986432126e-31
"214","NOD2","KRT4",0.590379770331077,1.99454443158011e-43
"215","NOD2","IRX1",0.523659876514914,6.53144875549868e-33
"216","NOD2","KRT15",0.608036949711747,1.22783191490365e-46
"217","NOD2","KRT15.1",0.608036949711747,1.22783191490365e-46
"218","NOD2","KRT13",0.599903091821899,3.91714104465316e-45
"219","NOD2","HOPX",0.560779360581098,1.81784731442546e-38
"220","NOD2","CYP4F22",0.500932377460692,7.80690823816944e-30
"221","NOD2","MAL",0.56429726114732,4.96713114444718e-39
"222","NOD2","PRSS27",0.603325665142511,9.23535418949871e-46
"223","NOD2","MAB21L3",0.586117707779453,1.11056757598598e-42
"224","NOD2","SNX31",0.565359325633426,3.34709916029421e-39
"225","NOD2","IL20RB",0.597889924679363,9.08985498118709e-45
"226","NOD2","DENND2C",0.632711813050219,1.77730292355346e-51
"227","NOD2","C12orf54",0.541697458000771,1.5912403040658e-35
"228","NOD2","CALML3",0.594988650575527,3.02619856770491e-44
"229","NOD2","DYNAP",0.581541931201896,6.82266203210377e-42
"230","NOD2","FOXE1",0.53839719357862,4.91717950894436e-35
"231","NOD2","ALOX15B",0.606702653667934,2.18177616481727e-46
"232","NOD2","CXCR2",0.566108445048655,2.53147218722396e-39
"233","NOD2","USH1G",0.594332832014109,3.96493139707542e-44
"234","NOD2","EPGN",0.578384908016402,2.34793914068968e-41
"235","NOD2","HCAR2",0.596589188694674,1.56097787909505e-44
"236","NOD2","OTOP2",0.553570738978133,2.4737213175846e-37
"237","NOD2","GBP6",0.602359083597111,1.39136540259134e-45
"238","NOD2","TMPRSS11B",0.562052937180465,1.13854429379637e-38
"239","NOD2","KRT5",0.600997273037907,2.47273994202512e-45
"240","NOD2","KRT3",0.50734896537516,1.11412565152153e-30
"241","NOD2","VSIG10L",0.60490531669867,4.7126137626596e-46
"242","NOD2","TMPRSS11A",0.60370102464519,7.8735444514628e-46
"243","NOD2","TPRG1",0.575548406605273,7.04650404001829e-41
"244","NOD2","C10orf99",0.518200639498664,3.76271407585945e-32
"245","NOD2","NCCRP1",0.595836898360553,2.13171767078049e-44
"246","NOD2","SBSN",0.576804914503065,4.33631244561163e-41
"247","NOD2","RNF222",0.600879129992132,2.59888913569768e-45
"248","NOD2","ADH7",0.57008444115165,5.68035915095478e-40
"249","NOD2","S100A2",0.505736161807347,1.82452448153597e-30
"250","NOD2","CYSRT1",0.584737376775926,1.92616823230011e-42
"251","NOD2","FABP12",0.563383347232429,6.96840048292444e-39
"252","NOD2","SERPINB2",0.562034027177093,1.14649873394989e-38
"253","NOD2","SERPINB13",0.61851459498271,1.22099100294438e-48
"254","NOD2","TMPRSS11F",0.615348841928817,5.00809537746013e-48
"255","NOD2","ANKRD35",0.554910697559998,1.52997870142418e-37
"256","NOD2","PAX9",0.624452220921301,8.27968021604319e-50
"257","NOD2","RAET1G",0.604133391322519,6.55014105296388e-46
"258","NOD2","MUC21",0.57551247012913,7.14481156898167e-41
"259","NOD2","KRT6A",0.575675355688421,6.70983527239548e-41
"260","NOD2","SERPINB4",0.582828305198671,4.10743960652007e-42
"261","NOD2","MUC21.1",0.57551247012913,7.14481156898167e-41
"262","NOD2","CAPN14",0.546608008696493,2.90115608738441e-36
"263","NOD2","TINCR",0.593334905406734,5.97403392494417e-44
"264","NOD2","MUC21.2",0.57551247012913,7.14481156898167e-41
"265","NOD2","MUC21.3",0.57551247012913,7.14481156898167e-41
"266","NOD2","SPINK8",0.623248941324968,1.43511754179892e-49
"267","NOD2","MUC21.4",0.57551247012913,7.14481156898167e-41
"268","NOD2","MUC21.5",0.57551247012913,7.14481156898167e-41
"269","NOD2","MUC21.6",0.57551247012913,7.14481156898167e-41
"270","NOD2","SPRR2A",0.506599899777776,1.40142027212887e-30
"271","NOD2","UGT1A7",0.524123838521688,5.62004936097261e-33
"272","NOD2","CAPNS2",0.601711121991743,1.8298607845931e-45
"273","NOD2","KRT33A.1",0.571879690714937,2.87366936331289e-40
"274","NOD2","RNF225",0.628149848730882,1.50449867005833e-50
"275","NOD2","TMPRSS11E.1",0.585515834318936,1.41241829118452e-42
"276","NOD2","PADI1.1",0.593835596935394,4.86430768843185e-44
"277","ADRB2","EFS",0.623658808769062,1.19024958082281e-49
"278","ADRB2","PTN",0.563824334361824,5.91896288143295e-39
"279","ADRB2","SOX15",0.517222269221263,5.13265942699563e-32
"280","ADRB2","NRG2",0.546704826020603,2.80462429793651e-36
"281","ADRB2","FAM107A",0.520663402768844,1.71448866962523e-32
"282","ADRB2","ARL4D",0.538093499877711,5.4517150471231e-35
"283","ADRB2","GNG7",0.53168101379851,4.70221887525337e-34
"284","ADRB2","ANKRD35",0.514613961073364,1.16868230849421e-31
"285","ADRB2","CCDC69",0.509780147415406,5.27053578805839e-31
"286","BACE1","CPXM1",0.55086436508176,6.48535546615258e-37
"287","BACE1","COL1A1",0.52167395371932,1.23951506622422e-32
"288","BACE1","GHR",0.608592438883159,9.65711043329607e-47
"289","BACE1","COL21A1",0.502228956505428,5.28522472626078e-30
"290","BACE1","FNDC1",0.533132945985552,2.89850790790563e-34
"291","BACE1","TNXB",0.538002905364146,5.6220365534737e-35
"292","BACE1","COL3A1",0.600969352976703,2.50199281993941e-45
"293","BACE1","COL3A1.1",0.600969352976703,2.50199281993941e-45
"294","BACE1","BGN",0.534765922810346,1.67735585279773e-34
"295","BACE1","THBS2",0.515035737301691,1.0235749189374e-31
"296","BACE1","TNXB.1",0.538002905364146,5.6220365534737e-35
"297","BACE1","TNXB.2",0.538002905364146,5.6220365534737e-35
"298","BACE1","TNXB.3",0.538002905364146,5.6220365534737e-35
"299","BACE1","TNXB.4",0.538002905364146,5.6220365534737e-35
"300","BACE1","TNXB.5",0.538002905364146,5.6220365534737e-35
"301","BACE1","TNXB.6",0.538002905364146,5.6220365534737e-35
"302","BACE1","TNXB.7",0.538002905364146,5.6220365534737e-35
"303","ARC","ADCYAP1R1",0.519486593726466,2.49805190945507e-32
"304","ARC","COL19A1",0.561012150923347,1.66909013621956e-38
"305","ARC","GADD45B",0.728113489912879,3.63946409329155e-75
"306","ARC","SGCG",0.568485287496372,1.03863633819742e-39
"307","ARC","NR4A3",0.814207038975437,2.22072097671939e-107
"308","ARC","FOSB",0.879462237304619,6.79953792803258e-146
"309","ARC","KCNA5",0.596767984135612,1.44937200588074e-44
"310","ARC","DPT",0.541463007319623,1.72473737337436e-35
"311","ARC","BTG2",0.790057092821519,7.88266317925129e-97
"312","ARC","CADM3",0.527379348334874,1.9449931056426e-33
"313","ARC","C1QTNF7",0.542800657150952,1.08826610271228e-35
"314","ARC","PI16",0.681743369851454,1.60727810088018e-62
"315","ARC","SLC7A3",0.688986464902122,2.44438505210154e-64
"316","ARC","NPAS4",0.529323254042708,1.02651658927078e-33
"317","ARC","GABRA5",0.587115478410644,7.4466624995226e-43
"318","ARC","MT1X",0.52531204721205,3.82054480417348e-33
"319","ARC","FAM180B",0.564478292753839,4.64437796105511e-39
"320","ARC","ANKRD63",0.802591577644776,4.01470013814162e-102
