"symbol"
"DPM1"
"SCYL3"
"C1orf112"
"FUCA2"
"GCLC"
"NFYA"
"LAS1L"
"ENPP4"
"SNX11"
"M6PR"
"ALS2"
"NDUFAF7"
"RBM5"
"ARF5"
"POLDIP2"
"AK2"
"FKBP4"
"KDM1A"
"RBM6"
"ARHGAP33"
"NDUFAB1"
"SLC25A13"
"CDC27"
"HCCS"
"DVL2"
"UPF1"
"POLR2J"
"DHX33"
"LIG3"
"RPAP3"
"CIAPIN1"
"SPPL2B"
"MSL3"
"CREBBP"
"GCFC2"
"WDR54"
"ZNF195"
"FBXL3"
"GDE1"
"TMEM132A"
"AP2B1"
"ZNF263"
"RALA"
"AGK"
"FARP2"
"COX10"
"VPS41"
"ELAC2"
"CCDC124"
"KIAA0100"
"ST7L"
"RPUSD1"
"LUC7L"
"PIGQ"
"CRAMP1"
"DNAJC11"
"MYLIP"
"E2F2"
"PSMB1"
"JARID2"
"CDK11A"
"CDK11A.1"
"NADK"
"DLEC1"
"CYB561"
"SPAG9"
"SS18L2"
"CRY1"
"RHOBTB2"
"HEATR5B"
"UBE3C"
"MASP2"
"VTA1"
"BAZ1B"
"SPRTN"
"ZNF207"
"ZNF207.1"
"STARD3NL"
"NCAPD2"
"ZNF200"
"LRRC23"
"HFE"
"LYPLA2"
"CLCN6"
"BTBD7"
"APBA3"
"MKS1"
"AKAP8L"
"RNF216"
"PTBP1"
"PTBP1.1"
"LARS2"
"PIK3C2A"
"ANLN"
"WIZ"
"MAP4K3"
"BRCA1"
"PRICKLE3"
"UBR7"
"MAP4K5"
"SLC25A39"
"PGM3"
"CLK1"
"POLR3B"
"DDX11"
"TACC3"
"UFL1"
"POLA2"
"ZC3H3"
"CAPN1"
"MDH1"
"SLC30A9"
"COX15"
"BID"
"NUDCD3"
"CHDH"
"GLT8D1"
"ATP2C1"
"RALBP1"
"RUFY3"
"AGPS"
"CXorf56"
"TTC27"
"PRDM11"
"ZRANB1"
"NCDN"
"MNAT1"
"SPAST"
"AQR"
"SLC45A4"
"RNF10"
"ZNF839"
"ZDHHC6"
"RNH1"
"NDUFS1"
"RB1CC1"
"ERP44"
"ALAS1"
"GLRX2"
"SNAPC1"
"STRAP"
"GCLM"
"UBR2"
"DEPDC1"
"CCDC28A"
"HSF2"
"PHF20"
"NCAPH2"
"TOMM34"
"KPNA6"
"MIPEP"
"IFNGR1"
"B4GALT7"
"SH2D2A"
"VRK2"
"VEZT"
"BRD9"
"TBPL1"
"BCLAF1"
"SLC39A9"
"TFB1M"
"HMGB3"
"NUP160"
"BAK1"
"CENPQ"
"RANBP3"
"ARID4A"
"IFT88"
"ALG1"
"ZCCHC8"
"ABCF2"
"UBA6"
"ATP6V0A1"
"ATP6V0A1.1"
"ASTE1"
"PEX3"
"FAM136A"
"DEPDC1B"
"RFC1"
"TBC1D23"
"CUL3"
"ZZZ3"
"RPL26L1"
"NSUN2"
"FBXO42"
"MRI1"
"PI4K2B"
"BOD1L1"
"EDC4"
"CLEC16A"
"ZFYVE16"
"SPDL1"
"STAU2"
"CTNS"
"PHF23"
"PSMA4"
"LSG1"
"THAP3"
"TDP1"
"AIFM2"
"SPATA7"
"MED17"
"DCUN1D1"
"TRIT1"
"CUL7"
"PHKA2"
"HSPA5"
"OFD1"
"YTHDC2"
"CTPS2"
"ATP6V1H"
"POLR2B"
"TPR"
"DTNBP1"
"GOPC"
"USP28"
"TSPAN17"
"NOP16"
"ZNF800"
"MRPS10"
"RSF1"
"FAM120A"
"R3HDM1"
"VAMP3"
"RFC2"
"ARID1B"
"CLPTM1L"
"NEDD4L"
"PTCD2"
"ARHGEF5"
"ARHGEF5.1"
"NFE2L3"
"MCUR1"
"LETMD1"
"BCAR1"
"FAM160A2"
"RAD51"
"POLQ"
"PIK3CB"
"THOC3"
"HEBP2"
"MPHOSPH9"
"SIKE1"
"RRP12"
"FNIP2"
"TTC17"
"MRTO4"
"ANAPC4"
"TRAPPC3"
"THRAP3"
"ARID4B"
"OPN3"
"KIF1B"
"TBC1D22A"
"ATP9A"
"NOP58"
"SZRD1"
"CUL1"
"USP36"
"KMT2C"
"PUM2"
"ZFR"
"ZNF280C"
"RC3H2"
"PKP2"
"GDI2"
"PITHD1"
"MTA3"
"USP13"
"SEC61A1"
"CROCC"
"POLR3E"
"POLR3E.1"
"YIPF1"
"NDC1"
"UNKL"
"ALDH18A1"
"TARBP1"
"GATB"
"DNAJC25"
"CTDP1"
"CCAR1"
"PIGV"
"SNRNP40"
"QSER1"
"NCKAP1"
"SFSWAP"
"GPBP1"
"CS"
"ELMO2"
"WAPL"
"APPBP2"
"POLD1"
"ZNF275"
"ZNF275.1"
"MTMR1"
"ADCK1"
"RNF4"
"CASP8"
"SPA17"
"TAF2"
"TNPO3"
"RFXANK"
"TMEM161A"
"LPAR2"
"SUGP2"
"CNN2"
"DDX20"
"BTBD1"
"SBNO2"
"PMS1"
"HMG20B"
"TAF11"
"AP3D1"
"ZNF76"
"NTHL1"
"UHRF1BP1"
"GNAI3"
"GNAI3.1"
"IPO5"
"WDR3"
"WDR18"
"TRAM2"
"MCM10"
"ADAT1"
"PDIA5"
"PDIA5.1"
"TBC1D22B"
"SPEN"
"ZC3H15"
"SEC61A2"
"CDK13"
"MTHFD2"
"YBX1"
"PPP2R5A"
"ELAVL1"
"DIP2B"
"SMARCD1"
"KDM4A"
"NFYC"
"ASPM"
"ZNRD1ASP"
"ZBTB11"
"ATXN3"
"GOLGA5"
"LRRC40"
"TRMT11"
"MSANTD3"
"ATG2B"
"ARFGEF1"
"MTFR1"
"PKM"
"DNTTIP2"
"TP53BP1"
"RRP15"
"RHOA"
"DHX8"
"PRKCZ"
"IARS2"
"ROCK1"
"CBFB"
"HYAL2"
"RASSF1"
"HEATR6"
"COASY"
"PLEKHH3"
"OTUD5"
"TBC1D25"
"GPKOW"
"GRIPAP1"
"FTSJ1"
"PRR11"
"ATP11A"
"POLR1A"
"TTC7A"
"IP6K2"
"SRBD1"
"KIF2A"
"PSME4"
"IFT80"
"NUP133"
"NUCKS1"
"DNAJA2"
"ATP1B3"
"MAPK6"
"LRP6"
"PHRF1"
"PTPN3"
"SLC44A1"
"TMEM260"
"SMG6"
"EXOC5"
"DGCR2"
"RNF126"
"MNT"
"ZXDC"
"JMJD6"
"POLB"
"GBA2"
"AP3M2"
"PABPC1"
"PABPC1.1"
"TESK2"
"CFAP20"
"CSNK2A2"
"EIF2B3"
"TCOF1"
"CDC42"
"OSBPL3"
"RAD18"
"ATP2B1"
"MAP4K4"
"WDR1"
"SNX13"
"TRIP13"
"TCF3"
"DAZAP1"
"MBD3"
"HLTF"
"FAM50A"
"CPSF1"
"CPSF1.1"
"CPSF1.2"
"CPSF1.3"
"PDCD2"
"RDH11"
"ZFYVE26"
"TFRC"
"UBE2D1"
"SMC1A"
"HSD17B10"
"MARK2"
"HMMR"
"NFATC3"
"TRNT1"
"DERL2"
"SCARB1"
"MCM2"
"LLGL2"
"PDE8A"
"NLE1"
"KDM5A"
"IGF2BP2"
"NSF"
"CLASP1"
"MRPS34"
"CLNS1A"
"EED"
"EED.1"
"TSG101"
"NCBP3"
"BCS1L"
"DPP8"
"SLC24A1"
"LMAN1"
"HACD3"
"ENO1"
"MYDGF"
"ACTR6"
"TIPIN"
"EIF4G3"
"NUP37"
"GTSE1"
"CELSR1"
"ZNF638"
"TIMM21"
"RASAL2"
"ZNF37A"
"MARK3"
"SLC25A3"
"FNDC3B"
"WDR62"
"DLG1"
"RAB7A"
"SEC31B"
"SART3"
"TUBA3D"
"EXOSC7"
"KIFAP3"
"MKRN2"
"MCM6"
"BAZ2A"
"PTPN23"
"MLH1"
"UNG"
"SPAG5"
"TRAF4"
"GPATCH1"
"XAB2"
"ARHGEF1"
"ARHGEF1.1"
"MAP2K7"
"TOP2B"
"TOP2B.1"
"UBE2T"
"DNAJC10"
"GTF3C1"
"USP33"
"SNRPA"
"FAM76B"
"SIRT6"
"ARAF"
"MCCC1"
"UBE2K"
"N4BP2"
"SYNJ2"
"GNB1"
"MLLT10"
"NRDC"
"NRDC.1"
"VDAC3"
"CBFA2T2"
"ITCH"
"SDF4"
"TOLLIP"
"THOC1"
"XRCC5"
"MKNK1"
"SAR1A"
"SENP1"
"CIC"
"KIF22"
"CARMIL1"
"RABL2B"
"RABL2B.1"
"KEAP1"
"SLC35C2"
"RIF1"
"SRCAP"
"PUM3"
"CNOT4"
"PSEN1"
"CPOX"
"MOK"
"HSP90AA1"
"RBL1"
"NDC80"
"PCNP"
"EXD2"
"UBA5"
"CDC14B"
"ZNF510"
"ZNF506"
"JMJD4"
"DUSP12"
"CADPS2"
"PHLPP1"
"WDR70"
"BZW1"
"C5orf22"
"CCNT2"
"FAM135A"
"TRAF5"
"GEMIN5"
"NFE2L1"
"GSK3B"
"XPO1"
"PALB2"
"LYRM2"
"KAT6A"
"GRHL2"
"TNPO1"
"PLOD1"
"DIS3"
"PIBF1"
"NUFIP1"
"PDS5B"
"ZNF416"
"ZNF586"
"YTHDC1"
"PPIE"
"ZMPSTE24"
"STARD7"
"NOA1"
"REST"
"APLP2"
"WBP11"
"EIF3I"
"TXLNA"
"AGBL5"
"CAD"
"BCORL1"
"ATRX"
"PREP"
"SEH1L"
"WDFY1"
"MAP3K4"
"IGSF9"
"RRN3"
"MTIF2"
"EPS15"
"ORC1"
"CHERP"
"ATG16L1"
